AccountNumber,BankName,CustomerId
11234,Natwest,1
11235,Barclays,2
11236,HSBC,3
11237,Lloyds,4
11238,Santander,5
11239,TSB,6
11240,Citibank,7
11241,CreditSuiese,8
11242,American Express,9
11243,BankOfAmerica,10
11244,State Bank Of India,11
11245,ICICIBank,12
11246,PNB Bank,13
11247,Natwest,14
11248,Barclays,15
11249,HSBC,16
11250,Lloyds,17
11251,Santander,18
11252,TSB,19
11253,Citibank,20
11254,CreditSuiese,21
11255,American Express,22
11256,BankOfAmerica,23
11257,State Bank Of India,24
11258,ICICIBank,25
11259,PNB Bank,26
11260,Natwest,27
11261,Barclays,28
11262,HSBC,29
11263,Lloyds,30
11264,Santander,31
11265,TSB,32
11266,Citibank,33
11267,CreditSuiese,34
11268,American Express,35
11269,BankOfAmerica,36
11270,State Bank Of India,37
11271,ICICIBank,38
11272,PNB Bank,39
11273,Natwest,40
11274,Barclays,41
11275,HSBC,42
11276,Lloyds,43
11277,Santander,44
11278,TSB,45
11279,Citibank,46
11280,CreditSuiese,47
11281,American Express,48
11282,BankOfAmerica,49
11283,State Bank Of India,50
11284,ICICIBank,51
11285,PNB Bank,52
11286,Natwest,53
11287,Barclays,54
11288,HSBC,55
11289,Lloyds,56
11290,Santander,57
11291,TSB,58
11292,Citibank,59
11293,CreditSuiese,60
11294,American Express,61
11295,BankOfAmerica,62
11296,State Bank Of India,63
11297,ICICIBank,64
11298,PNB Bank,65
11299,Natwest,66
11300,Barclays,67
11301,HSBC,68
11302,Lloyds,69
11303,Santander,70
11304,TSB,71
11305,Citibank,72
11306,CreditSuiese,73
11307,American Express,74
11308,BankOfAmerica,75
11309,State Bank Of India,76
11310,ICICIBank,77
11311,PNB Bank,78
11312,Natwest,79
11313,Barclays,80
11314,HSBC,81
11315,Lloyds,82
11316,Santander,83
11317,TSB,84
11318,Citibank,85
11319,CreditSuiese,86
11320,American Express,87
11321,BankOfAmerica,88
11322,State Bank Of India,89
11323,ICICIBank,90
11324,PNB Bank,91
11325,Natwest,92
11326,Barclays,93
11327,HSBC,94
11328,Lloyds,95
11329,Santander,96
11330,TSB,97
11331,Citibank,98
11332,CreditSuiese,99
11333,American Express,100
11334,BankOfAmerica,101
11335,State Bank Of India,102
11336,ICICIBank,103
11337,PNB Bank,104
11338,Natwest,105
11339,Barclays,106
11340,HSBC,107
11341,Lloyds,108
11342,Santander,109
11343,TSB,110
11344,Citibank,111
11345,CreditSuiese,112
11346,American Express,113
11347,BankOfAmerica,114
11348,State Bank Of India,115
11349,ICICIBank,116
11350,PNB Bank,117
11351,Natwest,118
11352,Barclays,119
11353,HSBC,120
11354,Lloyds,121
11355,Santander,122
11356,TSB,123
11357,Citibank,124
11358,CreditSuiese,125
11359,American Express,126
11360,BankOfAmerica,127
11361,State Bank Of India,128
11362,ICICIBank,129
11363,PNB Bank,130
11364,Natwest,131
11365,Barclays,132
11366,HSBC,133
11367,Lloyds,134
11368,Santander,135
11369,TSB,136
11370,Citibank,137
11371,CreditSuiese,138
11372,American Express,139
11373,BankOfAmerica,140
11374,State Bank Of India,141
11375,ICICIBank,142
11376,PNB Bank,143
11377,Natwest,144
11378,Barclays,145
11379,HSBC,146
11380,Lloyds,147
11381,Santander,148
11382,TSB,149
11383,Citibank,150
11384,CreditSuiese,151
11385,American Express,152
11386,BankOfAmerica,153
11387,State Bank Of India,154
11388,ICICIBank,155
11389,PNB Bank,156
11390,Natwest,157
11391,Barclays,158
11392,HSBC,159
11393,Lloyds,160
11394,Santander,161
11395,TSB,162
11396,Citibank,163
11397,CreditSuiese,164
11398,American Express,165
11399,BankOfAmerica,166
11400,State Bank Of India,167
11401,ICICIBank,168
11402,PNB Bank,169
11403,Natwest,170
11404,Barclays,171
11405,HSBC,172
11406,Lloyds,173
11407,Santander,174
11408,TSB,175
11409,Citibank,176
11410,CreditSuiese,177
11411,American Express,178
11412,BankOfAmerica,179
11413,State Bank Of India,180
11414,ICICIBank,181
11415,PNB Bank,182
11416,Natwest,183
11417,Barclays,184
11418,HSBC,185
11419,Lloyds,186
11420,Santander,187
