Street,City,State,ZipCode,CustomerId
Hotchoclate Vanilla Flavor Road 1,Milton Keynes,Buckighamshire,UK11AH1,1
Hotchoclate Vanilla Flavor Road 2,Milton Keynes,Buckighamshire,UK11AH2,2
Hotchoclate Vanilla Flavor Road 3,Milton Keynes,Buckighamshire,UK11AH3,3
Hotchoclate Vanilla Flavor Road 4,Milton Keynes,Buckighamshire,UK11AH4,4
Hotchoclate Vanilla Flavor Road 5,Milton Keynes,Buckighamshire,UK11AH5,5
Hotchoclate Vanilla Flavor Road 6,Milton Keynes,Buckighamshire,UK11AH6,6
Hotchoclate Vanilla Flavor Road 7,Milton Keynes,Buckighamshire,UK11AH7,7
Hotchoclate Vanilla Flavor Road 8,Milton Keynes,Buckighamshire,UK11AH8,8
Hotchoclate Vanilla Flavor Road 9,Milton Keynes,Buckighamshire,UK11AH9,9
Hotchoclate Vanilla Flavor Road 10,Milton Keynes,Buckighamshire,UK11AH10,10
Hotchoclate Vanilla Flavor Road 11,Milton Keynes,Buckighamshire,UK11AH11,11
Hotchoclate Vanilla Flavor Road 12,Milton Keynes,Buckighamshire,UK11AH12,12
Hotchoclate Vanilla Flavor Road 13,Milton Keynes,Buckighamshire,UK11AH13,13
Hotchoclate Vanilla Flavor Road 14,Milton Keynes,Buckighamshire,UK11AH14,14
Hotchoclate Vanilla Flavor Road 15,Milton Keynes,Buckighamshire,UK11AH15,15
Hotchoclate Vanilla Flavor Road 16,Milton Keynes,Buckighamshire,UK11AH16,16
Hotchoclate Vanilla Flavor Road 17,Milton Keynes,Buckighamshire,UK11AH17,17
Hotchoclate Vanilla Flavor Road 18,Milton Keynes,Buckighamshire,UK11AH18,18
Hotchoclate Vanilla Flavor Road 19,Milton Keynes,Buckighamshire,UK11AH19,19
Hotchoclate Vanilla Flavor Road 20,Milton Keynes,Buckighamshire,UK11AH20,20
Hotchoclate Vanilla Flavor Road 21,Milton Keynes,Buckighamshire,UK11AH21,21
Hotchoclate Vanilla Flavor Road 22,Milton Keynes,Buckighamshire,UK11AH22,22
Hotchoclate Vanilla Flavor Road 23,Milton Keynes,Buckighamshire,UK11AH23,23
Hotchoclate Vanilla Flavor Road 24,Milton Keynes,Buckighamshire,UK11AH24,24
Hotchoclate Vanilla Flavor Road 25,Milton Keynes,Buckighamshire,UK11AH25,25
Hotchoclate Vanilla Flavor Road 26,Milton Keynes,Buckighamshire,UK11AH26,26
Hotchoclate Vanilla Flavor Road 27,Milton Keynes,Buckighamshire,UK11AH27,27
Hotchoclate Vanilla Flavor Road 28,Milton Keynes,Buckighamshire,UK11AH28,28
Hotchoclate Vanilla Flavor Road 29,Milton Keynes,Buckighamshire,UK11AH29,29
Hotchoclate Vanilla Flavor Road 30,Milton Keynes,Buckighamshire,UK11AH30,30
Hotchoclate Vanilla Flavor Road 31,Milton Keynes,Buckighamshire,UK11AH31,31
Hotchoclate Vanilla Flavor Road 32,Milton Keynes,Buckighamshire,UK11AH32,32
Hotchoclate Vanilla Flavor Road 33,Milton Keynes,Buckighamshire,UK11AH33,33
Hotchoclate Vanilla Flavor Road 34,Milton Keynes,Buckighamshire,UK11AH34,34
Hotchoclate Vanilla Flavor Road 35,Milton Keynes,Buckighamshire,UK11AH35,35
Hotchoclate Vanilla Flavor Road 36,Milton Keynes,Buckighamshire,UK11AH36,36
Hotchoclate Vanilla Flavor Road 37,Milton Keynes,Buckighamshire,UK11AH37,37
Hotchoclate Vanilla Flavor Road 38,Milton Keynes,Buckighamshire,UK11AH38,38
Hotchoclate Vanilla Flavor Road 39,Milton Keynes,Buckighamshire,UK11AH39,39
Hotchoclate Vanilla Flavor Road 40,Milton Keynes,Buckighamshire,UK11AH40,40
Hotchoclate Vanilla Flavor Road 41,Milton Keynes,Buckighamshire,UK11AH41,41
Hotchoclate Vanilla Flavor Road 42,Milton Keynes,Buckighamshire,UK11AH42,42
Hotchoclate Vanilla Flavor Road 43,Milton Keynes,Buckighamshire,UK11AH43,43
Hotchoclate Vanilla Flavor Road 44,Milton Keynes,Buckighamshire,UK11AH44,44
Hotchoclate Vanilla Flavor Road 45,Milton Keynes,Buckighamshire,UK11AH45,45
Hotchoclate Vanilla Flavor Road 46,Milton Keynes,Buckighamshire,UK11AH46,46
Hotchoclate Vanilla Flavor Road 47,Milton Keynes,Buckighamshire,UK11AH47,47
